product_id,date,avg_discount_rate,late_delivery_rate
P019,2017-04-24,0.100000001,1.0
P019,2017-04-26,0.090000004,0.0
P019,2017-05-03,0.07,0.0
P019,2017-05-04,0.059999999,0.0
P019,2017-05-06,0.050000001,0.0
P019,2017-05-14,0.039999999,0.0
P019,2017-05-16,0.029999999,1.0
P019,2017-05-19,0.02,1.0
P019,2017-05-20,0.01,1.0
P019,2017-05-22,0.0,0.0
P019,2017-05-23,0.2250000015,1.0
P019,2017-05-24,0.180000007,1.0
P019,2017-05-25,0.170000002,0.0
P019,2017-05-28,0.159999996,0.0
P019,2017-06-01,0.150000006,0.0
P019,2017-06-02,0.129999995,1.0
P019,2017-06-04,0.119999997,1.0
P019,2017-06-05,0.100000001,0.0
P019,2017-06-07,0.090000004,1.0
P019,2017-06-12,0.0649999995,0.5
P019,2017-06-22,0.050000001,0.0
P019,2017-06-25,0.039999999,0.0
P019,2017-06-27,0.029999999,0.0
P019,2017-06-28,0.02,1.0
P019,2017-06-30,0.005,1.0
P019,2017-07-01,0.2250000015,0.5
P019,2017-07-02,0.180000007,1.0
P019,2017-07-06,0.164999999,1.0
P019,2017-07-10,0.150000006,0.0
P019,2017-07-13,0.129999995,0.0
P019,2017-07-14,0.119999997,1.0
P019,2017-07-17,0.100000001,1.0
P019,2017-07-20,0.090000004,1.0
P019,2017-07-22,0.07,0.0
P019,2017-07-23,0.059999999,1.0
P019,2017-07-25,0.045,0.5
P019,2017-07-29,0.029999999,1.0
P019,2017-08-02,0.02,1.0
P019,2017-08-05,0.01,1.0
P019,2017-08-07,0.0,1.0
P019,2017-08-15,0.2250000015,0.5
P019,2017-08-18,0.180000007,0.0
P019,2017-08-19,0.170000002,1.0
P019,2017-08-20,0.155000001,1.0
P019,2017-08-22,0.129999995,1.0
P019,2017-08-23,0.119999997,0.0
P019,2017-08-27,0.0950000025,0.5
P019,2017-08-28,0.07,1.0
P019,2017-08-29,0.059999999,0.0
P019,2017-08-31,0.045,1.0
P019,2017-09-01,0.029999999,0.0
P019,2017-09-04,0.02,1.0
P019,2017-09-06,0.01,0.0
P019,2017-09-10,0.0,1.0
P024,2017-04-23,0.119999997,0.0
P024,2017-04-27,0.039999999,0.0
P024,2017-04-28,0.090000004,1.0
P024,2017-04-29,0.050000001,0.0
P024,2017-05-01,0.170000002,1.0
P024,2017-05-02,0.159999996,0.0
P024,2017-05-03,0.02,1.0
P024,2017-05-04,0.13,0.0
P024,2017-05-05,0.02,0.0
P024,2017-05-07,0.150000006,1.0
P024,2017-05-08,0.050000001,0.0
P024,2017-05-13,0.180000007,0.0
P024,2017-05-15,0.0,1.0
P024,2017-05-20,0.164999999,0.5
P024,2017-05-21,0.129999995,1.0
P024,2017-05-22,0.180000007,1.0
P024,2017-05-23,0.129999995,0.0
P024,2017-05-25,0.109999999,0.5
P024,2017-05-29,0.1275000005,0.5
P024,2017-05-30,0.07,0.0
P024,2017-06-03,0.050000001,0.0
P024,2017-06-05,0.07,1.0
P024,2017-06-06,0.050000001,1.0
P024,2017-06-09,0.039999999,0.0
P024,2017-06-11,0.059999999,0.0
P024,2017-06-12,0.05499999950000001,1.0
P024,2017-06-13,0.029999999,0.0
P024,2017-06-17,0.029999999,1.0
P024,2017-06-19,0.045,0.5
P024,2017-06-20,0.150000006,0.0
P024,2017-06-23,0.0950000025,1.0
P024,2017-06-25,0.02,0.0
P024,2017-06-26,0.200000003,0.0
P024,2017-06-28,0.25,1.0
P024,2017-07-01,0.120000003,1.0
P024,2017-07-03,0.085000001,1.0
P024,2017-07-05,0.01,1.0
P024,2017-07-08,0.050000001,1.0
P024,2017-07-11,0.1750000045,1.0
P024,2017-07-17,0.180000007,0.0
P024,2017-07-18,0.02,0.0
P024,2017-07-23,0.159999996,0.0
P024,2017-07-25,0.119999997,0.0
P024,2017-07-27,0.12333333499999999,0.0
P024,2017-07-29,0.07,1.0
P024,2017-08-02,0.119999997,0.0
P024,2017-08-03,0.200000003,1.0
P024,2017-08-13,0.116666667,1.0
P024,2017-08-15,0.055,0.5
P024,2017-08-22,0.02,0.0
P024,2017-08-24,0.034999999000000004,0.5
P024,2017-08-29,0.0,0.0
P024,2017-08-30,0.200000003,1.0
P024,2017-09-05,0.0,0.0
P024,2017-09-06,0.25,0.0
P024,2017-09-08,0.02,1.0
P035,2017-04-24,0.1400000005,0.0
P035,2017-04-26,0.119999997,0.0
P035,2017-04-27,0.100000001,0.0
P035,2017-04-28,0.090000004,0.0
P035,2017-05-01,0.0649999995,1.0
P035,2017-05-02,0.050000001,1.0
P035,2017-05-05,0.039999999,1.0
P035,2017-05-12,0.0249999995,0.0
P035,2017-05-17,0.01,0.0
P035,2017-05-22,0.0,1.0
P035,2017-05-23,0.25,0.0
P035,2017-05-25,0.190000005,1.0
P035,2017-05-28,0.170000002,1.0
P035,2017-05-29,0.159999996,1.0
P035,2017-05-31,0.1400000005,1.0
P035,2017-06-02,0.119999997,1.0
P035,2017-06-06,0.100000001,0.0
P035,2017-06-07,0.090000004,0.0
P035,2017-06-12,0.07,0.0
P035,2017-06-13,0.059999999,1.0
P035,2017-06-16,0.050000001,1.0
P035,2017-06-18,0.039999999,0.0
P035,2017-06-20,0.029999999,0.0
